序號,PCode,法規名稱,連結
1,A0000001,中華民國憲法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000001
2,A0000002,中華民國憲法增修條文,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000002
3,A0000003,憲法實施之準備程序,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000003
4,A0000004,訓政結束程序法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000004
5,A0000012,民國八十八年九月二十五日總統緊急命令（九二一震災）,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000012
6,A0000015,全國戒嚴令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000015
7,A0000016,臺灣地區解嚴令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000016
8,A0000017,宣告動員戡亂時期終止,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000017
9,A0020143,法官助理遴用訓練業務管理及考核辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020143
10,A0030055,行政程序法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030055
11,A0030057,政府採購法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030057
12,A0030058,政府採購法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030058
13,A0030059,採購專業人員資格考試訓練發證及管理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030059
14,A0030063,統包實施辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030063
15,A0030064,共同投標辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030064
16,A0030065,政府採購公告及公報發行辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030065
17,A0030066,中央機關未達公告金額採購監辦辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030066
18,A0030067,中央機關未達公告金額採購招標辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030067
19,A0030068,扶助中小企業參與政府採購辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030068
20,A0030069,機關堪用財物無償讓與辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030069
21,A0030070,特別採購招標決標處理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030070
